adjective_de,Counter Speech,Counter Hate,Hate Speech,Sentiment,Toxicity ,adjective,definitions
friedlich,X,,,,,peaceful,"Peaceful is defined as free from disturbance, violence, or conflict; calm and tranquil."
beharrlich,X,X,X,,,persistently,Persistently is defined as continuing firmly or obstinately in a course of action despite difficulty or opposition.
polemisch,,X,X,,,polemical,"Polemical is defined as strongly critical, controversial, or argumentative, especially in speech or writing."
höflich,X,,,,,polite,"Polite is defined as showing good manners, respect, and consideration for others."
positiv,X,,,,,positive,"Positive is defined as showing optimism, approval, or a constructive attitude."
hasspredigend,,X,X,,,preaching hate,"Preaching hate is defined as promoting hostility, intolerance, or violence toward individuals or groups through speech or expression."
vorurteilsbehaftet,,X,X,,,prejudiced,Prejudiced is defined as having or showing an unfair dislike or bias against a person or group without proper knowledge or reason.
aggressionsfördernd,,X,X,,,promoting aggression,"Promoting aggression is defined as encouraging hostility, violence, or confrontational behavior in others."
demokratiefördernd,X,,,,,promoting democracy,Promoting democracy is defined as supporting or encouraging the development and practice of democratic principles and institutions.
dialogfördernd,X,,,,,promoting dialogue,"Promoting dialogue is defined as encouraging open, respectful, and constructive communication between individuals or groups."
toleranzfördernd,X,,,,,promoting tolerance,"Promoting tolerance is defined as encouraging acceptance and understanding of different beliefs, cultures, and perspectives."
provokativ,,X,X,,,provocative,"Provocative is defined as tending to provoke a reaction, especially anger, curiosity, or interest."
umsichtig,X,,,,,prudent,Prudent is defined as acting with care and thought for the future.
hinterfragend,X,,,,,questioning,Questioning is defined as expressing doubt or seeking information through inquiry or uncertainty.
rassistisch,,X,X,,,racist,Racist is defined as showing or believing in the prejudice that one race is inherently superior to others.
radikal,,X,X,,,radical,Radical is defined as advocating for thorough or complete political or social reform.
rational,X,,,,,rational,Rational is defined as being based on reason or logic rather than emotion or instinct.
räsonnierend,X,,,,,reasoning,Reasoning is defined as the process of thinking logically and systematically to form conclusions or judgments.
vorurteilsabbauend,X,,,,,reducing prejudice,Reducing prejudice is defined as actively diminishing biased attitudes or discriminatory behaviors toward individuals or groups.
reflexiv,X,,,,,reflexive,reflexive is defined as describing an action directed back on the subject itself.
widerlegend,X,,,,,refuting,Refuting is defined as disproving or proving something to be false or incorrect.
ablehnend,X,X,X,,,rejecting,"Rejecting is defined as refusing to accept, believe, or agree with something or someone."
relativierend,X,X,X,,,relativizing,Relativizing is defined as making something seem less absolute or less universally applicable by considering it in relation to other factors or perspectives.
verwerflich,,X,X,,,reprehensible,Reprehensible is defined as deserving of strong criticism or disapproval.
abstoßend,,X,X,,,repulsive,Repulsive is defined as causing strong dislike or disgust.
respektvoll,X,,,,,respectful,"Respectful is defined as showing politeness, honor, or consideration toward others."
achtungsvoll,X,,,,,respectfully,"Respectfully is defined as showing or characterized by politeness, honor, or deference toward someone or something."
respektierend,X,,,,,respecting,"Respecting is defined as showing consideration, regard, or esteem toward someone or something."
umkehrend,X,,,,,reversing,Reversing is defined as moving backward or causing something to move in the opposite direction.
revidierend,X,,,,,revising,"Revising is defined as reviewing and altering content to improve accuracy, clarity, or quality."
widerrufend,X,,,,,revoking,"Revoking is defined as canceling or withdrawing a decision, order, or privilege."
grob,,X,X,,,rough,Rough is defined as having an uneven or irregular surface; not smooth or level.
rücksichtslos,,X,X,,,ruthless,Ruthless is defined as showing no pity or compassion for others.
sarkastisch,X,X,X,,,sarcastic,Sarcastic is defined as using irony to mock or convey contempt.
satirisch,X,X,X,,,satirical,"Satirical is defined as using humor, irony, or ridicule to criticize or expose flaws in people, society, or institutions."
einfühlsam,X,,,,,sensitive,Sensitive is defined as easily affected by external influences or capable of perceiving slight changes or emotions.
sensibilisiernd,X,,,,,sensitizing,Sensitizing is defined as causing someone or something to become more responsive or susceptible to stimuli or influences.
sexistisch,,X,X,,,sexist,Sexist is defined as demonstrating or promoting discrimination or prejudice based on a person's sex or gender.
sexualisierend,,X,X,,,sexualizing,Sexualizing is defined as viewing or treating someone or something primarily in terms of sexual attributes or desire.
beschämend,,X,X,,,shameful,Shameful is defined as causing or deserving feelings of shame or disgrace.
schamlos,,X,X,,,shameless,"Shameless is defined as showing a lack of shame, embarrassment, or guilt about one's actions or behavior."
scharfsinnig,X,,,,,sharp,Sharp is defined as having a fine edge or point that can cut or pierce something easily.
skeptisch,X,,,,,skeptical,Skeptical is defined as having doubts or questioning the truth or validity of something.
solidarisch,X,,,,,solidaric,Solidaric is defined as showing or expressing unity and mutual support within a group.
gehässig,,X,X,,,spiteful,"Spiteful is defined as showing or caused by malice or a desire to hurt, annoy, or offend someone."
hassverbreitend,,X,X,,,spreading hate,"Spreading hate is defined as promoting or disseminating hostility, prejudice, or intolerance toward individuals or groups."
konfliktschürend,,X,X,,,stirring up conflict,Stirring up conflict is defined as deliberately provoking tension or disagreement between individuals or groups.
gemeinschaftsstärkend,X,,,,,strengthening the community,"Strengthening the community is defined as enhancing social bonds, cooperation, and support systems to improve collective well-being and resilience."
zurückschlagend,,X,,,,striking back,Striking back is defined as retaliating or responding forcefully to an attack or provocation.
hartnäckig,X,X,X,,,stubborn,"Stubborn is defined as being unwilling to change one's attitude or position on something, despite good reasons to do so."
unterstützend,X,,,,,supportive,"Supportive is defined as providing encouragement, help, or emotional assistance to others."
terrorisierend,,X,X,,,terrorizing,"Terrorizing is defined as instilling intense fear or dread in others, often through threats or violent actions."
denkanstoßend,X,,,,,thought-provoking,"thought-provoking is defined as causing deep thinking, reflection, or consideration."
bedrohend,,X,X,,,threatening,Threatening is defined as showing intent to cause harm or danger.
tolerant,X,,,,,tolerant,"Tolerant is defined as showing willingness to accept behaviors, beliefs, or opinions different from one's own."
toxisch,,X,X,,,toxic,"Toxic is defined as harmful, poisonous, or detrimental, especially to health or relationships."
transfeindlich,,X,X,,,transphobic,"Transphobic is defined as showing or having dislike, prejudice, or discrimination against transgender people."
inakzeptabel,,X,X,,,unacceptable,"Unacceptable is defined as not satisfactory or allowable by societal, moral, or personal standards."
unvoreingenommen,X,,,,,unbiased,Unbiased is defined as showing no prejudice or favoritism; impartial and objective.
unzivilisiert,,X,X,,,uncivilized,"Uncivilized is defined as lacking manners, culture, or social development."
verständnisvoll,X,,,,,understanding,"Understanding is defined as showing sympathy, compassion, or insight into someone else's feelings or situation."
unfair,,X,X,,,unfair,Unfair is defined as not based on or behaving according to the principles of equality and justice.
unverzeihlich,,X,X,,,unforgivable,Unforgivable is defined as too severe or offensive to be excused or pardoned.
unnötig,,X,X,,,unnecessary,Unnecessary is defined as not needed or more than what is required.
unangenehm,,X,X,,,unpleasant,"Unpleasant is defined as causing discomfort, annoyance, or dislike."
vorbehaltlos,X,,,,,unreservedly,"Unreservedly is defined as acting or expressing something openly, without hesitation or limitations."
ungezügelt,,X,X,,,unrestrained,Unrestrained is defined as not controlled or held back; free and uninhibited.
unzufrieden,X,X,X,,,unsatisfied,"Unsatisfied is defined as not content or pleased with a situation, outcome, or experience."
aufgeregt,X,X,X,,,upset,"Upset is defined as feeling unhappy, disappointed, or disturbed emotionally."
stichhaltig,X,,,,,valid,"Valid is defined as being logically sound, legally acceptable, or based on truth or fact."
niederträchtig,,X,X,,,vile,"Vile is defined as extremely unpleasant, morally bad, or wicked."
gewaltbereit,,X,X,,,violent,"Violent is defined as using or involving physical force intended to hurt, damage, or kill someone or something."
vulgär,,X,X,,,vulgar,Vulgar is defined as lacking sophistication or good taste; crude or indecent.
warmherzig,X,,,,,warm-hearted,"warm-hearted is defined as showing kindness, sympathy, and affection towards others."
abschwächend,X,X,X,,,weakening,"Weakening is defined as becoming less strong, intense, or effective."
besorgt,X,,,,,worried,Worried is defined as feeling anxious or concerned about something uncertain or troubling.
xenofeindlich,,X,X,,,xenohostile,"xenohostile is defined as showing strong hostility or aggression toward foreigners, aliens, or anything perceived as foreign."
xenophob,,X,X,,,xenophobic,Xenophobic is defined as having or showing a dislike or prejudice against people from other countries.
